species,block,treatment,pot,position,height_cm,leaves_nodes
corn,1,Tap,1,South,162,12
corn,1,Solari,2,South,166,12
corn,1,Cashido,3,South,174,13
corn,2,Tap,4,South,166,12
corn,2,Solari,5,South,164,10
corn,2,Cashido,6,South,164,11
corn,3,Tap,7,South,143,13
corn,3,Solari,8,South,148,13
corn,3,Cashido,9,South,182,13
corn,4,Tap,10,South,168,12
corn,4,Solari,11,South,158,11
corn,4,Cashido,12,South,165,12
corn,5,Tap,13,South,175,12
corn,5,Solari,14,South,153,12
corn,5,Cashido,15,South,132,13
corn,6,Solari,16,North,139,13
corn,6,Tap,17,North,156,12
corn,6,Cashido,18,North,151,12
corn,7,Solari,19,North,153,13
corn,7,Tap,20,North,153,11
corn,7,Cashido,21,North,154,12
corn,8,Solari,22,North,155,11
corn,8,Tap,23,North,170,11
corn,8,Cashido,24,North,159,11
corn,9,Solari,25,North,160,12
corn,9,Tap,26,North,159,12
corn,9,Cashido,27,North,169,12
corn,10,Solari,28,North,173,12
corn,10,Tap,29,North,152,11
corn,10,Cashido,30,North,143,10
cotton,11,Tap,31,South,37,11
cotton,11,Solari,32,South,39,10
cotton,11,Cashido,33,South,38,11
cotton,12,Tap,34,South,39,10
cotton,12,Solari,35,South,39,10
cotton,12,Cashido,36,South,48,10
cotton,13,Tap,37,South,43,10
cotton,13,Solari,38,South,39,10
cotton,13,Cashido,39,South,39,10
cotton,14,Tap,40,South,49,10
cotton,14,Solari,41,South,41,10
cotton,14,Cashido,42,South,38,10
cotton,15,Tap,43,South,,
cotton,15,Solari,44,South,38,10
cotton,15,Cashido,45,South,38,10
cotton,16,Solari,46,North,35,10
cotton,16,Tap,47,North,38,10
cotton,16,Cashido,48,North,32,8
cotton,17,Solari,49,North,41,10
cotton,17,Tap,50,North,42,11
cotton,17,Cashido,51,North,39,11
cotton,18,Solari,52,North,39,9
cotton,18,Tap,53,North,42,10
cotton,18,Cashido,54,North,38,10
cotton,19,Solari,55,North,41,11
cotton,19,Tap,56,North,44,10
cotton,19,Cashido,57,North,46,10
cotton,20,Solari,58,North,43,11
cotton,20,Tap,59,North,38,10
cotton,20,Cashido,60,North,35,10
