datetime,species,block,treatment ,pot,height_cm,leaves_nodes,position
23/07/2018,corn,1,Tap ,1,53,6,South_North
23/07/2018,corn,1,Solari ,2,48.5,6,South_North
23/07/2018,corn,1,Cashido ,3,51.5,6,South_North
23/07/2018,corn,2,Tap ,4,50,6,South_North
23/07/2018,corn,2,Solari ,5,48.5,6,South_North
23/07/2018,corn,2,Cashido ,6,45,6,South_North
23/07/2018,corn,3,Tap ,7,50,6,South_North
23/07/2018,corn,3,Solari ,8,47,6,South_North
23/07/2018,corn,3,Cashido ,9,53,6,South_North
23/07/2018,corn,4,Tap ,10,48,6,South_North
23/07/2018,corn,4,Solari ,11,52.5,6,South_North
23/07/2018,corn,4,Cashido ,12,53,6,South_North
23/07/2018,corn,5,Tap ,13,47.5,6,South_North
23/07/2018,corn,5,Solari ,14,51,6,South_North
23/07/2018,corn,5,Cashido ,15,59,6,South_North
23/07/2018,corn,6,Solari ,16,53.5,6,North_South
23/07/2018,corn,6,Tap ,17,43,6,North_South
23/07/2018,corn,6,Cashido ,18,50.5,6,North_South
23/07/2018,corn,7,Solari ,19,46,6,North_South
23/07/2018,corn,7,Tap ,20,50.5,6,North_South
23/07/2018,corn,7,Cashido ,21,47,6,North_South
23/07/2018,corn,8,Solari ,22,48,6,North_South
23/07/2018,corn,8,Tap ,23,44.5,6,North_South
23/07/2018,corn,8,Cashido ,24,41,6,North_South
23/07/2018,corn,9,Solari ,25,60.5,6,North_South
23/07/2018,corn,9,Tap ,26,48,5,North_South
23/07/2018,corn,9,Cashido ,27,53,6,North_South
23/07/2018,corn,10,Solari ,28,49,6,North_South
23/07/2018,corn,10,Tap ,29,48,6,North_South
23/07/2018,corn,10,Cashido ,30,49,6,North_South
27/07/2018,corn,1,Tap ,1,75,7,South_North
27/07/2018,corn,1,Solari ,2,72,7,South_North
27/07/2018,corn,1,Cashido ,3,74,7,South_North
27/07/2018,corn,2,Tap ,4,71,7,South_North
27/07/2018,corn,2,Solari ,5,68,7,South_North
