ID,year,vine_size_2005,vine,East,North,Row_#,Bay_#,Cane_#,Cropload,elevation,EM38,Trunkcirc,cropcircle,bunch_per_vine,yld_kg_per_vine
2005_Bay_#2-Row_#323-Cane_#2,2005,M,1,407370.392,807666.346,323,2,2,2c,10.97135,3.911578889,178.6224556,7.93782,4.5125,4.641428571
2005_Bay_#15-Row_#323-Cane_#2,2005,M,2,407403.339,807578.737,323,15,2,2c,10.94357444,3.855947778,189.7771,10.37287667,3.42,3.573461538
2005_Bay_#26-Row_#323-Cane_#2,2005,XS,3,407431.217,807504.606,323,26,2,2c,11.19804111,4.059778889,163.2115444,8.840817778,5.4225,5.839615385
2005_Bay_#31-Row_#323-Cane_#2,2005,S,4,407443.889,807470.91,323,31,2,2c,11.01622,4.205651111,164.4851111,9.25243,2.72,4.103859649
2005_Bay_#40-Row_#323-Cane_#2,2005,L,5,407466.699,807410.257,323,40,2,2c,10.51706889,4.564212222,193.8663333,10.67583333,2.7725,2.829862069
2005_Bay_#59-Row_#323-Cane_#2,2005,XL,6,407514.853,807282.212,323,59,2,2c,10.58453778,5.514371111,209.2560222,10.96109778,1.855,4.028828125
2005_Bay_#5-Row_#325-Cane_#4,2005,M,7,407372.796,807644.626,325,5,4,4c,10.83859889,3.724567778,183.6738778,9.411745556,6.045,6.108855634
2005_Bay_#26-Row_#325-Cane_#4,2005,XS,8,407426.019,807503.103,325,26,4,4c,11.11856111,4.05801,163.1403444,8.67221,8.3225,8.503987539
2005_Bay_#29-Row_#325-Cane_#4,2005,S,9,407433.622,807482.886,325,29,4,4c,11.32790444,3.900804444,162.3020667,9.662143333,7.195,7.456636364
2005_Bay_#43-Row_#325-Cane_#4,2005,L,10,407469.104,807388.537,325,43,4,4c,10.85151778,4.559338889,193.9866667,10.58490556,7.2675,8.247032609
2005_Bay_#47-Row_#325-Cane_#4,2005,M,11,407479.241,807361.58,325,47,4,4c,10.89806444,3.685737778,180.3130778,10.10847111,5.36,5.36
2005_Bay_#59-Row_#325-Cane_#4,2005,XL,12,407509.654,807280.71,325,59,4,4c,10.56461778,5.370178889,208.7781556,11.0842,6.58,7.92974359
2005_Bay_#5-Row_#327-Cane_#2,2005,L,13,407367.668,807642.937,327,5,2,2c,10.95466778,3.702851111,182.8035889,9.27165,4.4425,4.710838926
2005_Bay_#18-Row_#327-Cane_#2,2005,M,14,407400.615,807555.327,327,18,2,2c,10.91152778,4.856685556,177.0582444,9.753314444,4.67,5.071104294
2005_Bay_#27-Row_#327-Cane_#2,2005,XS,15,407423.425,807494.674,327,27,2,2c,11.38827222,4.015877778,158.0728667,8.782137778,,
2005_Bay_#30-Row_#327-Cane_#2,2005,M,16,407431.028,807474.457,327,30,2,2c,11.23828444,4.108755556,169.2216111,9.997136667,2.045,2.967743902
2005_Bay_#33-Row_#327-Cane_#2,2005,S,17,407438.631,807454.239,327,33,2,2c,11.17656222,3.85091,160.7953889,9.73157,2.415,2.523783784
2005_Bay_#60-Row_#327-Cane_#2,2005,XL,18,407507.06,807272.281,327,60,2,2c,10.65773556,5.720598889,212.0677,10.92501889,1.16,2.112857143
2005_Bay_#26-Row_#329-Cane_#4,2005,XS,19,407415.762,807499.724,329,26,4,4c,11.25133778,4.155674444,163.4179,9.328693333,5.675,6.144192913
